source_state,vm_count,mode,round,application_ready_seconds_baseline,application_ready_seconds_variant,application_ready_seconds_improvement_percent,first_operation_seconds_baseline,first_operation_seconds_variant,first_operation_seconds_improvement_percent,held_memory_bytes_baseline,held_memory_bytes_variant,held_memory_bytes_improvement_percent,held_anon_bytes_baseline,held_anon_bytes_variant,held_anon_bytes_improvement_percent,held_file_bytes_baseline,held_file_bytes_variant,held_file_bytes_improvement_percent,held_shmem_bytes_baseline,held_shmem_bytes_variant,held_shmem_bytes_improvement_percent,launch_memory_growth_bytes_baseline,launch_memory_growth_bytes_variant,launch_memory_growth_bytes_improvement_percent,launch_cpu_usec_baseline,launch_cpu_usec_variant,launch_cpu_usec_improvement_percent,launch_io_wbytes_baseline,launch_io_wbytes_variant,launch_io_wbytes_improvement_percent,total_pss_kib_baseline,total_pss_kib_variant,total_pss_kib_improvement_percent
plaintext-cold,1,vhost-user-blk-shared-cache,1,0.827037623,0.619963852,25.038010997475507,0.003012511,0.002781275,7.675855789406236,130859008.0,134041600.0,-2.432077125328659,56233984.0,60723200.0,-7.983101464054192,66244608.0,66121728.0,0.1854943424225561,54276096.0,65859584.0,-21.341785525620708,121221120.0,124592128.0,-2.780875147829025,762515.0,682024.0,10.555989062510246,11890688.0,192512.0,98.38098518773683,92195.0,98053.0,-6.3539237485763875
plaintext-cold,1,vhost-user-blk-shared-cache,2,1.081004194,0.619029334,42.73571393747987,0.002775863,0.003362023,-21.116315898875413,131575808.0,131534848.0,0.031130342745073623,57786368.0,57856000.0,-0.12049900765523107,66093056.0,66084864.0,0.012394645513138323,54276096.0,65859584.0,-21.341785525620708,122294272.0,121774080.0,0.42536088689419566,734820.0,710619.0,3.2934596227647583,11890688.0,192512.0,98.38098518773683,94523.0,97216.0,-2.8490420320980077
plaintext-cold,1,vhost-user-blk-shared-cache,3,0.798951036,0.611285521,23.488988253843377,0.003368827,0.002810582,16.570901384962784,133398528.0,130506752.0,2.1677720461803,59428864.0,57270272.0,3.632228272106968,66093056.0,66084864.0,0.012394645513138323,54276096.0,65859584.0,-21.341785525620708,124612608.0,121036800.0,2.8695394931466325,715118.0,704557.0,1.4768192102562094,11890688.0,192512.0,98.38098518773683,96741.0,95300.0,1.4895442470100577
plaintext-cold,1,vhost-user-blk-shared-cache,4,0.763867384,0.624508626,18.24384191798402,0.003049463,0.00301196,1.2298230868844753,133156864.0,129253376.0,2.9314958934448923,58736640.0,55570432.0,5.390516039051604,66093056.0,66084864.0,0.012394645513138323,54276096.0,65859584.0,-21.341785525620708,123568128.0,119275520.0,3.4738796075311584,740154.0,698763.0,5.592214593179257,11890688.0,192512.0,98.38098518773683,94929.0,92200.0,2.87478009881069
plaintext-cold,1,vhost-user-blk-shared-cache,5,0.78263443,0.611396179,21.879723717240502,0.003271713,0.002700405,17.462045112147674,130256896.0,128745472.0,1.1603408697839692,56520704.0,54738944.0,3.1524023479962318,66093056.0,66084864.0,0.012394645513138323,54276096.0,65859584.0,-21.341785525620708,120918016.0,119566336.0,1.117848311371566,745965.0,686605.0,7.957477897756597,11890688.0,192512.0,98.38098518773683,94449.0,91584.0,3.033383095638916
plaintext-cold,1,vhost-user-blk-shared-cache,6,0.765363295,0.602933534,21.22256999533796,0.004011288,0.003084764,23.097917676317437,127025152.0,135200768.0,-6.436218238101381,54013952.0,61353984.0,-13.589140820505044,66093056.0,66084864.0,0.012394645513138323,54276096.0,65859584.0,-21.341785525620708,117538816.0,125476864.0,-6.753554502369669,712728.0,660319.0,7.353296068065236,11890688.0,192512.0,98.38098518773683,92890.0,96331.0,-3.7043815265367637
plaintext-cold,1,vhost-user-blk-shared-cache,7,0.767962218,0.614482036,19.985381885023937,0.003087359,0.003131797,-1.4393531817971263,130080768.0,125853696.0,3.2495749102588323,56471552.0,52006912.0,7.9059984042939,66093056.0,66084864.0,0.012394645513138323,54276096.0,65859584.0,-21.341785525620708,120369152.0,116305920.0,3.3756422908088615,726032.0,694120.0,4.395398549926174,11890688.0,192512.0,98.38098518773683,96138.0,94433.0,1.7734922715263477
plaintext-cold,1,vhost-user-blk-shared-cache,8,0.770592171,0.699441611,9.23323162077648,0.003141997,0.003108991,1.0504784059310026,131911680.0,137342976.0,-4.117373078714485,58736640.0,63774720.0,-8.577405857740587,66093056.0,66084864.0,0.012394645513138323,54276096.0,65859584.0,-21.341785525620708,122306560.0,127860736.0,-4.541192230408574,726135.0,782675.0,-7.7864308978358014,11890688.0,192512.0,98.38098518773683,94738.0,94840.0,-0.10766535075682408
plaintext-cold,1,vhost-user-blk-shared-cache,9,0.819993995,0.615738042,24.909444977094005,0.002365542,0.003143521,-32.887980851745596,128499712.0,122978304.0,4.296825194440903,54419456.0,49876992.0,8.34713231973506,66125824.0,66084864.0,0.06194251734390485,54276096.0,65859584.0,-21.341785525620708,118259712.0,113131520.0,4.336381269049598,739095.0,685884.0,7.19948044568019,11890688.0,192512.0,98.38098518773683,91299.0,91492.0,-0.21139333399051466
plaintext-cold,1,vhost-user-blk-shared-cache,10,0.781338757,0.60787047,22.20141845593869,0.003397863,0.002772065,18.417399406627045,127356928.0,128684032.0,-1.0420351847682758,53415936.0,55320576.0,-3.565677478720957,66093056.0,66084864.0,0.012394645513138323,54276096.0,65859584.0,-21.341785525620708,117923840.0,119656448.0,-1.4692601597777006,715917.0,669995.0,6.414430723114551,11890688.0,192512.0,98.38098518773683,93846.0,92252.0,1.6985273746350404
