source_state,vm_count,cache_backing,round,application_ready_seconds_baseline,application_ready_seconds_variant,application_ready_seconds_improvement_percent,first_operation_seconds_baseline,first_operation_seconds_variant,first_operation_seconds_improvement_percent,held_memory_bytes_baseline,held_memory_bytes_variant,held_memory_bytes_improvement_percent,held_anon_bytes_baseline,held_anon_bytes_variant,held_anon_bytes_improvement_percent,held_file_bytes_baseline,held_file_bytes_variant,held_file_bytes_improvement_percent,held_shmem_bytes_baseline,held_shmem_bytes_variant,held_shmem_bytes_improvement_percent,launch_memory_growth_bytes_baseline,launch_memory_growth_bytes_variant,launch_memory_growth_bytes_improvement_percent,launch_cpu_usec_baseline,launch_cpu_usec_variant,launch_cpu_usec_improvement_percent,launch_io_wbytes_baseline,launch_io_wbytes_variant,launch_io_wbytes_improvement_percent,total_pss_kib_baseline,total_pss_kib_variant,total_pss_kib_improvement_percent
plaintext-cold,1,memfd,2,0.619029334,0.478638334,22.679216038573067,0.003362023,0.002088123,37.89087701065698,131534848.0,119660544.0,9.02749665244605,57856000.0,51150848.0,11.589380530973452,66084864.0,61050880.0,7.61745382422214,65859584.0,60825600.0,7.643510168542819,121774080.0,110583808.0,9.189371005718131,710619.0,586833.0,17.419461061412655,192512.0,192512.0,0.0,97216.0,92431.0,4.922029295589203
plaintext-cold,1,memfd,3,0.611285521,0.627852524,-2.710190644283234,0.002810582,0.004099992,-45.876974946825975,130506752.0,120492032.0,7.673717908480321,57270272.0,52072448.0,9.07595479902732,66084864.0,61181952.0,7.419114912606917,65859584.0,60956672.0,7.4444928167174576,121036800.0,111124480.0,8.189509306260575,704557.0,667753.0,5.22370794697945,192512.0,192512.0,0.0,95300.0,92348.0,3.0975865687303252
plaintext-cold,1,memfd,4,0.624508626,0.697830322,-11.740701881033736,0.00301196,0.003215372,-6.753476141781432,129253376.0,117948416.0,8.746355685131196,55570432.0,49463296.0,10.989901968010614,66084864.0,61161472.0,7.450105367546795,65859584.0,60936192.0,7.47558927794017,119275520.0,108388352.0,9.127747252747252,698763.0,774151.0,-10.788779600522638,192512.0,192512.0,0.0,92200.0,92407.0,-0.22451193058568328
plaintext-cold,1,memfd,5,0.611396179,0.514631926,15.826767703760874,0.002700405,0.001834059,32.082076577402276,128745472.0,120147968.0,6.67790786459659,54738944.0,51163136.0,6.532475306794374,66084864.0,61050880.0,7.61745382422214,65859584.0,60825600.0,7.643510168542819,119566336.0,111071232.0,7.104929601589531,686605.0,633480.0,7.737345344120709,192512.0,192512.0,0.0,91584.0,92537.0,-1.0405747728860937
plaintext-cold,1,memfd,6,0.602933534,0.731322686,-21.29408048483168,0.003084764,0.00314352,-1.9047162116777843,135200768.0,122757120.0,9.203829374697044,61353984.0,54325248.0,11.456038453835369,66084864.0,61161472.0,7.450105367546795,65859584.0,60936192.0,7.47558927794017,125476864.0,112963584.0,9.972579486844682,660319.0,831968.0,-25.99486006006188,192512.0,192512.0,0.0,96331.0,93151.0,3.301118020159658
plaintext-cold,1,memfd,7,0.614482036,0.497970787,18.960887735373916,0.003131797,0.001997072,36.23239309572108,125853696.0,121806848.0,3.2155178025125304,52006912.0,53043200.0,-1.9925966763802472,66084864.0,61050880.0,7.61745382422214,65859584.0,60825600.0,7.643510168542819,116305920.0,111915008.0,3.775312555027294,694120.0,613526.0,11.610960640811387,192512.0,192512.0,0.0,94433.0,92833.0,1.694322959135048
plaintext-cold,1,memfd,8,0.699441611,0.488042862,30.22393087219399,0.003108991,0.002863967,7.881142145474218,137342976.0,118149120.0,13.975127493960812,63774720.0,49324032.0,22.658959537572255,66084864.0,61181952.0,7.419114912606917,65859584.0,60956672.0,7.4444928167174576,127860736.0,107778048.0,15.706688877498717,782675.0,594998.0,23.9789184527422,192512.0,192512.0,0.0,94840.0,93467.0,1.4477013918177983
plaintext-cold,1,memfd,9,0.615738042,0.499897601,18.813266860000184,0.003143521,0.002964577,5.692470322291466,122978304.0,122658816.0,0.2597921662669864,49876992.0,54648832.0,-9.567216884290056,66084864.0,61083648.0,7.567869096318335,65859584.0,60825600.0,7.643510168542819,113131520.0,112275456.0,0.7566980448950036,685884.0,639015.0,6.8333712406179465,192512.0,192512.0,0.0,91492.0,94296.0,-3.0647488304988415
plaintext-cold,1,memfd,10,0.60787047,0.518019468,14.781274372482686,0.002772065,0.003190513,-15.095172732241114,128684032.0,119042048.0,7.4927586975204505,55320576.0,50286592.0,9.099659410632311,66084864.0,61227008.0,7.350935911739184,65859584.0,61001728.0,7.376080602027489,119656448.0,109617152.0,8.390100297812618,669995.0,631201.0,5.790192464122867,192512.0,192512.0,0.0,92252.0,93929.0,-1.8178467675497552
plaintext-cold,4,file,1,0.966626306,0.975695101,-0.9381903786094581,0.004125342,0.003582308,13.16336924308335,356728832.0,326897664.0,8.362421347540531,111927296.0,100421632.0,10.279587206323647,227491840.0,209260544.0,8.014043932301044,215007232.0,197599232.0,8.096471843328507,347000832.0,317251584.0,8.573249760968874,2135960.0,1826663.0,14.480467799022453,12468224.0,11649024.0,6.57030223390276,305929.0,281566.0,7.963612472174916
plaintext-cold,4,file,2,1.106140191,1.361218623,-23.060226368720755,0.003438385,0.003876802,-12.750666373893557,358146048.0,322576384.0,9.931608682723759,113848320.0,95174656.0,16.402230617017448,227450880.0,209760256.0,7.777777777777778,215007232.0,198115328.0,7.856435266326297,349503488.0,312946688.0,10.4596381023814,2094205.0,1875372.0,10.449454566291266,12468224.0,11649024.0,6.57030223390276,305415.0,281460.0,7.843426157850793
plaintext-cold,4,file,3,1.103006741,0.913910825,17.143677275132806,0.002865801,0.004932671,-72.12189541423147,357257216.0,320565248.0,10.270462388644937,112672768.0,93581312.0,16.944161698415005,227479552.0,210006016.0,7.681365576102419,215007232.0,198225920.0,7.804998856968681,347734016.0,310857728.0,10.60473991707501,2193791.0,1857457.0,15.331177856049186,12468224.0,11649024.0,6.57030223390276,304247.0,279497.0,8.134837812698235
plaintext-cold,4,file,4,0.944680962,0.862860739,8.661148714882213,0.002951851,0.002614894,11.415108689429111,358252544.0,321036288.0,10.388274032744901,113868800.0,93818880.0,17.607913669064747,227487744.0,210042880.0,7.66848520859216,215007232.0,198356992.0,7.744037186618913,348557312.0,311468032.0,10.640798147995817,2043935.0,1774497.0,13.182317441601615,12468224.0,11649024.0,6.57030223390276,305140.0,279121.0,8.526905682637478
plaintext-cold,4,file,5,1.199099577,1.157626933,3.4586488724947615,0.003191195,0.003517651,-10.229898204277713,358043648.0,329547776.0,7.958770434603549,113291264.0,102338560.0,9.667739253046024,227483648.0,210333696.0,7.538982318412618,215007232.0,198639616.0,7.612588584927227,347942912.0,320126976.0,7.994396506056718,2131623.0,3049159.0,-43.04400918924219,12468224.0,11649024.0,6.57030223390276,304549.0,283656.0,6.860308193427002
plaintext-cold,4,file,6,0.949281375,1.014454889,-6.865563332052107,0.003772355,0.004816741,-27.68525231586106,355196928.0,322576384.0,9.183791139094536,110256128.0,95641600.0,13.25507095623746,228007936.0,210034688.0,7.882729134480653,215531520.0,198377472.0,7.958950969213227,345690112.0,313315328.0,9.365261798405157,2195246.0,1824153.0,16.904392491775408,12468224.0,11649024.0,6.57030223390276,300995.0,281263.0,6.5555906244289766
plaintext-cold,4,file,7,0.94641852,0.941193812,0.5520504818523709,0.003465006,0.002820261,18.6073270868795,353550336.0,329588736.0,6.7774224940914785,108183552.0,103526400.0,4.304861426624262,227487744.0,209141760.0,8.064603251769027,215007232.0,197468160.0,8.157433513678274,343830528.0,319262720.0,7.1453248037358685,2062001.0,1893185.0,8.186998939379759,12468224.0,11649024.0,6.57030223390276,301910.0,284460.0,5.779868172634229
plaintext-cold,4,file,8,1.045221869,0.852853206,18.404576932938234,0.003677075,0.004913258,-33.618650693825934,347983872.0,325300224.0,6.518591758183552,103002112.0,98394112.0,4.473694675309182,227487744.0,209874944.0,7.742307207547849,215007232.0,198225920.0,7.804998856968681,338288640.0,315838464.0,6.636396658191064,2068179.0,1925787.0,6.884897293706202,12468224.0,11649024.0,6.57030223390276,300318.0,280112.0,6.728201439807139
plaintext-cold,4,file,9,0.969011326,0.99977048,-3.174282196160839,0.003485518,0.005172826,-48.40910303719563,358133760.0,334389248.0,6.630068050551839,113360896.0,107245568.0,5.394565688683336,227475456.0,210010112.0,7.677902621722846,215007232.0,198356992.0,7.744037186618913,348303360.0,324382720.0,6.867760333980126,2174140.0,1778256.0,18.208763005142263,12468224.0,11649024.0,6.57030223390276,306112.0,278935.0,8.878123039933095
