vm_count,cache_backing,pairs,application_ready_seconds_improvement_p50,application_ready_seconds_improvement_p95,application_ready_seconds_win_rate,tree_scan_seconds_improvement_p50,tree_scan_seconds_improvement_p95,tree_scan_seconds_win_rate,measured_memory_bytes_improvement_p50,measured_memory_bytes_improvement_p95,measured_memory_bytes_win_rate,total_memory_bytes_improvement_p50,total_memory_bytes_improvement_p95,total_memory_bytes_win_rate,operation_cpu_usec_improvement_p50,operation_cpu_usec_improvement_p95,operation_cpu_usec_win_rate,host_writes_bytes_improvement_p50,host_writes_bytes_improvement_p95,host_writes_bytes_win_rate,total_pss_kib_improvement_p50,total_pss_kib_improvement_p95,total_pss_kib_win_rate
1,file,10,7.1382552708987825,11.723650384502927,0.8,63.195606847795915,68.03643426203921,1.0,68.10933215719973,68.78508905602304,1.0,38.536309127552954,48.14241567770803,1.0,70.42959724383616,73.89977144570683,1.0,0.0,0.0,0.0,6.02159210709145,6.501216684534413,1.0
1,memfd,10,2.4460594132556284,10.975760754217333,0.7,64.05189206274085,66.79538035287106,1.0,68.39585156561927,69.45147018633442,1.0,38.99794331521879,39.98710423930621,1.0,70.91302652071016,73.02961429713707,1.0,0.0,0.0,0.0,6.143082400477228,6.721956542886822,1.0
4,file,10,3.081790026859422,8.668440620949958,0.8,68.9158917155523,82.36497785192162,1.0,67.55475737379933,68.10861154292083,1.0,56.6410203602008,57.284228104454456,1.0,73.04905867152866,80.3963525296196,1.0,0.0,26.13461538461538,0.2,51.712151313356216,52.307916818768106,1.0
4,memfd,10,4.638228479101677,8.401377005765145,0.7,71.39662095911599,87.45729007815387,1.0,67.62270038882392,67.98686825836418,1.0,57.0375595448755,57.229104876698116,1.0,75.0380204818402,86.62003410686722,1.0,0.0,27.692307692307693,0.3,51.982066576808094,52.09458218652242,1.0
8,file,10,10.289051962639338,13.734573196591754,1.0,83.98896599644604,88.55798593886868,1.0,67.47762022925949,67.93690410907071,1.0,61.57934001522891,62.11222545053617,1.0,81.94668018835137,87.55574819927457,1.0,27.692307692307693,34.06797972242998,0.9,60.16603240571224,60.53811796941673,1.0
8,memfd,10,11.905815682467018,21.866921059883435,0.9,76.73719123660908,88.24879149956001,1.0,67.58019226099647,68.15478029044371,1.0,61.924529197248454,62.38702252445063,1.0,77.8564059717036,87.03063923400924,1.0,27.692307692307693,31.37078802523828,0.8,60.13621921893464,60.68141123852847,1.0
